Date,img_path,0,1,2,3,4
2020-12-19,Cue.jpeg,#c7b197,#9b8773,#847262,#554032,#241109
2021-01-15,Grocery.jpeg,#b6cae0,#a4b5c9,#7f8ea3,#525d74,#192031
2021-01-24,Couple.jpeg,#e2e2e2,#bebebe,#8a8a8a,#383838,#101010
2021-04-18,Ferry.jpeg,#bdcdd7,#8f9fb1,#6d707b,#4a4850,#241920
2021-04-18,Streetcornercafe.jpeg,#dad7d1,#adaaa5,#8a7e76,#4e5761,#272c35
2021-05-10,Mushy3.jpeg,#c1b8aa,#aea292,#9d8c7e,#867669,#52514d
2021-05-23,Pidegons.jpeg,#d5d4cf,#adaca9,#818081,#5b5151,#401d12
2021-05-31,Cap.jpeg,#98948a,#837c71,#6c6457,#564a3b,#4c3116
2021-11-26,Mouse-again.jpeg,#b1c5d9,#8d9cad,#656a75,#47454e,#171928
2021-11-27,Gradients_face.jpeg,#abc8e9,#88a8cf,#5f7799,#445470,#152847
2021-12-09,Notmoving.jpeg,#d6d6d3,#aeadaa,#827a6d,#4e4c4a,#222020
2021-12-09,Light.jpeg,#d1cebf,#b9b7aa,#948e80,#605f58,#3d2d16
2021-12-26,Head3.jpeg,#d5d0c6,#aaa18b,#bb4c2d,#7d5f38,#342017
2021-12-26,Face-2.jpeg,#d4cebe,#ccab32,#7d8c7b,#786234,#321f14
2022-02-22,2202morningpracticeface.jpeg,#dbd1c5,#caad87,#9d8162,#684d35,#2f2219
2022-05-26,69041e4d81.jpg,#d0b78f,#b39164,#64696b,#734721,#232f42
2022-05-29,c6f5344e76.jpg,#deccb5,#d5b890,#b39876,#7f705e,#4e483f
2022-05-31,48887f9617.jpg,#e0d0b7,#ceae8c,#a48f78,#6f665a,#343332
2022-06-04,b35c6645f6.jpg,#c3c6d4,#a3a6af,#7e8186,#514742,#181618
2022-06-04,8cff78b343.jpg,#b2c1e4,#93a4c0,#6e7885,#474248,#1c1d2b
2022-06-05,22ed8a7c65.jpg,#d3d2cb,#b1afa9,#97908c,#7c6c60,#403330
2022-06-06,fba62392a3.jpg,#c9c4b7,#b0a595,#9c8f79,#786a5a,#5c432d
2022-06-08,c7b08bd764.jpg,#cacbc9,#b4b2ac,#959396,#71696b,#5e493b
2022-06-09,22333f115f.jpg,#ded3bd,#cfac91,#ba9070,#8f6851,#5e3a2e
2022-06-10,54b6324344.jpg,#e4c4a8,#b49683,#9b5d36,#75635b,#453734
2022-06-12,ad8002b7da.jpg,#dad8d2,#cab29f,#a68c7a,#866852,#3f3e40
2022-06-14,76af109ba3.jpg,#e4c6c0,#d5ad95,#ad7261,#9b5946,#3d3134
2022-06-16,03598547cb.jpg,#cdc6be,#b0a69b,#b7737c,#877974,#705646
2022-06-17,a1a332fc74.jpg,#dcd3c0,#cabca6,#8d7971,#7b5132,#474445
2022-06-20,de86768dcc.jpg,#cdccc7,#afb2ac,#72797f,#4b4b4d,#212225
2022-06-22,b0ee13ae4c.jpg,#ded4c1,#cbbca5,#a1938c,#866d5c,#5b4840
2022-06-30,449685c884.jpg,#c6ccd1,#a8a593,#744e53,#50322c,#381418
2022-07-17,ff74067ebb.jpg,#d3d2cc,#8ea1b9,#67788d,#374252,#101827
2022-07-21,0633ff9c88.jpg,#d5d4ce,#b8b0a4,#9a9183,#7c6a5c,#513520
2022-07-31,9f975ce5b9.jpg,#c6d0db,#9ea5a3,#736a61,#4d3831,#261c19
2022-08-06,20b80c15d7.jpg,#d2d3dd,#a2a2ab,#727371,#444736,#1d2018
2022-08-14,8f66ee0fc9.jpg,#d6d6da,#aaa9ad,#706e6f,#473c33,#100d0b
2022-08-23,0d78144ebd.jpg,#d0d4e1,#a3a4af,#767781,#4b4d4c,#0b0d11
2022-08-23,719b1a493e.jpg,#dfd1bf,#b9a994,#91794d,#6e562b,#3b301a
2022-08-23,98abf826f2.jpg,#8caef0,#718ec8,#516a9e,#42415b,#2f2537
2022-08-26,0866e14f37.jpg,#c7cee1,#b4bace,#808290,#593442,#3b0f1b
2022-08-27,58f2b47be4.jpg,#d4d4cf,#aeada7,#817e76,#654b2a,#38230f
2022-08-28,ec522f97ed.jpg,#d3d3cf,#aaa89d,#835c34,#654223,#3b2511
2022-08-28,4c11f1c672.jpg,#d3d1c9,#bab6ad,#97938a,#5f5c4e,#502c0f
2022-09-03,0c85263293.jpg,#cdceca,#bdbebb,#a1a19f,#797977,#333634
2022-09-04,d3b8f0afb1.jpg,#d0d0cb,#b5b3ac,#938e85,#69635a,#3f3931
2022-09-07,ab65b14961.jpg,#d6d7d8,#c2c1bc,#8f8d8b,#685948,#533720
2022-09-07,2c0c21041c.jpg,#d7cfbf,#bdb5a6,#a29a8d,#7b5532,#532e12
2022-09-07,eeb8306561.jpg,#dad8d1,#a09e99,#6d6a68,#865b3b,#533723
2022-09-11,047539495b.jpg,#d7d7db,#9f9fa1,#7c736c,#604f40,#382b1f
2022-09-11,879fb0c471.jpg,#becce6,#9caac2,#69798f,#383f4b,#1c222e
2022-09-11,ae4a2986aa.jpg,#cecdcb,#979696,#6b6966,#46443d,#181713
2022-09-20,89941ee665.jpg,#d7d4cd,#bdb6b1,#cba274,#9a7151,#784b2a
2022-09-22,79b78ee6ac.jpg,#e4e4e5,#afb1b7,#7b7b80,#4b4643,#121011
2022-09-22,d818fe14b0.jpg,#dad9d9,#b4b3b3,#838282,#4e4e4a,#2b2a27
2022-09-23,2f484d4367.jpg,#caced8,#a3a6ad,#818181,#6c6557,#42413a
2022-09-25,c6fd065784.jpg,#c2c1bd,#9a9995,#6e6e6a,#3b422f,#121a0a
2022-09-25,f6da0a760a.jpg,#c1c6d9,#a7abbc,#868586,#664219,#4c2907
2022-10-01,1f4ba01297.jpg,#d2d2d0,#b4b4b3,#8f8e8f,#646265,#31312f
2022-10-01,d3aa0b0ca4.jpg,#d1d2d0,#aeb3a5,#80837a,#494d3d,#181e0d
2022-10-02,2f5ec9184a.jpg,#d2d1cd,#afb2b0,#888886,#58585b,#111418
2022-10-08,8ca8d8832a.jpg,#cdcdca,#bdbdba,#8b8c89,#5f5f5d,#19191a
2022-10-09,9d82fa35ac.jpg,#c4ceea,#8d96b6,#6c738e,#4f4f53,#1e1b1d
2022-10-10,524827789a.jpg,#d0d5db,#b2b5b6,#898888,#585758,#16181a
2022-10-11,87c3ebf03a.jpg,#cecfcc,#afb5a6,#8c9168,#6e532b,#542d0a
2022-10-15,9f99c14dbf.jpg,#cdd4de,#a9a7a4,#717072,#525255,#2f2f2f
2022-10-30,53973A7F-F147-46CB-ADEC-4D01A774C743_1_105_c.jpeg,#d5ddec,#a7b5bf,#969871,#616848,#262f18
2022-10-30,70E4BA8B-6459-44BC-874D-7C866B83F903_1_105_c.jpeg,#b6c2ce,#bcb57c,#83836a,#494d38,#171f0d
2022-12-03,geelong_pier.jpg,#d5d7d7,#a9b5bb,#848486,#524341,#120d0e
2022-12-12,office-still-life-12.jpg,#c5c6c3,#b2b0a6,#969484,#7f764a,#413422
2022-12-13,against-the-window.jpg,#cdcfd7,#b6aa9f,#987e6d,#775d4a,#613a13
2022-12-18,sunny-vic-gardens.jpg,#bcc4dd,#9ca5b9,#7b838d,#545b60,#2f3136
2022-12-24,221224-lifeguard-tower.jpg,#ccd1da,#b1ad78,#a0a8ab,#76776f,#464744
2022-12-25,221225-christmas-at-the-beach.jpg,#cdcfcd,#c8c286,#97a0a2,#696461,#1c1817
2022-12-25,221225-surfers-paradise-cityscape.jpg,#b0cadc,#96a6b9,#7c8797,#5e6672,#3b414b
2022-12-27,221227-queen-st-mall.jpg,#ccd1d6,#b8b5af,#8e8d8b,#6e6b56,#332b2b
2023-01-06,230106-victoria-st-melbourne-cityscape.jpg,#c8d8e6,#a2b1be,#81908b,#5a6e57,#252e32
2023-01-07,230110-queen-vic-markets-again.jpg,#c0d0e5,#9bacc5,#798890,#4e5a6c,#293244
2023-01-27,fed_sq_ice_cream.jpg,#acbde3,#8d9ab2,#626c88,#3f3847,#18111f
2023-01-28,2301_quick_twelve_apostles.jpg,#c7cee2,#aaafbc,#85858f,#6e6258,#483d33
2023-01-31,2301_hobart_gpo.jpg,#c6cad2,#a2a4ab,#7a715d,#514c41,#131212
2023-02-01,2302_hobart_boats.jpg,#cad0dc,#b4bbc8,#80828a,#5b5a5d,#302525
2023-02-02,2302_hobart_harbour.jpg,#c4cce2,#a2a8bc,#797c8f,#4f5264,#2b120f
2023-02-05,2302_hobart_markets.jpg,#e2e1df,#c0b9ad,#d39571,#7c726c,#43362e
2023-02-06,2302_lolli_shop.jpg,#cfd6da,#b3b4ac,#949e8b,#707278,#2b2e31
2023-02-06,2302_waiting_for_mona.jpg,#d3dae4,#b1b8c4,#8b8f97,#60656c,#38393c
2023-02-06,2302_salamanca_strip.jpg,#afc5e8,#97a898,#767d75,#464142,#11121a
2023-02-07,2302_port_arthur.jpg,#cad0d9,#b2b79a,#8d8f72,#5b5954,#1b1b1f
